Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Morocco,25159314000.0,1779312192.0,3775575803.0,19249764178.0,9319698401.0,MAR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,19067093.66,35371218.64,40542318.54,28963366.32,36739032.96,45408253.27,49157198.31,35994436.11,15360060.09,48852466.31,30432451.13,41349877.49,56844992.81,73902813.79,111106151.9,95600829.85,104258156.7,132032392.7,166923239.9,147791000.8,151547176.9,150018207.4,176734128.4,0.0
Mozambique,30000000.0,30000000.0,0.0,0.0,0.0,MOZ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,5656758.83,2338960,2361670.872,1906090.572,3554354.576,3807426.927,4721835.26,8054486.93,24529769.8,19574342.62,26793739.52,19003105.27,15615001.38,2862442.76,0.0,0.0,0.0,0.0,0.0
Myanmar,33350000.0,226056.18,0.0,33123943.82,0.01,MMR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295324275.7,271948538.3,230635285.5,26384508.89,47290466.54,32501768.97,0.0,0.0,0.0,0.0
Namibia,15000000.0,0.0,0.0,15074534.82,0.0,NAM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,8055999.476,0.371065271,1663615.549,3578522.786,3241378.29,1743612.772,3007359.027,1925869.212,15276310.78,6696286.76,5976319.087,8453517.164,6255488.216,6944483.413,8624279.895,7080686.53,2984701.004,2406514.047,1284968.637,2540932.617,5717621.772,5354442.367,8863053.724,0.0
Nicaragua,233550000.0,3944969.78,0.0,229605030.2,0.0,NIC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000,800000,800000,800000,800000,800000,1200000,1200000,1900000,2000000,1900000,1100000,600000,800000,1500000,0.0
North Macedonia,2354280124.0,448490778.8,224428341.9,1638380852.0,627803001.8,MKD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5681955.073,5505751.676,10323881.98,6953248,9390434,10351748,8665872,19319106,24890350,20239756.76,17758539,24885150,33907240,41586769,52812610,56157840,66879970,53366170,188796560,160554940,183710916.9,169440810,137655090,0.0
Pakistan,13588650000.0,1610572049.0,2975853193.0,9006969601.0,2397292263.0,PAK,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,28000000,19000000,18000000,36000000,86000000,109000000,106000000,107000000,117000000,90000000,124000000,127000000,161000000,126000000,160000000,180000000,221000000,227000000,189000000,192000000,183000000,268000000,111000000,0.0
Papua New Guinea,866620000.0,70563079.67,79925000.0,716131920.3,75000.02,PNG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,2617971000.0,145649097.6,406397052.7,2065924850.0,1115661648.0,PRY,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,8600000,7400000,4600000,4600000,1900000,1700000,3100000,1200000,1900000,2500000,2500000,2500000,2500000,37300000,18050000,18500000,19300000,18500000,18500000,18500000,18500000,16600000,15080000,0.0
Peru,16696289000.0,2607759063.0,613414051.3,13475115885.0,5445590141.0,PER,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,74288000,65485000,70755000,74298000,78082000,81628000,95339000,111272000,159484000,152419000,196763615.3,215801198.3,363763315,394276014.4,465593559.8,421403538.3,379133896.1,306382719.2,349222679.4,419229521.7,459604252.9,505899553.4,521794008.1,0.0
Philippines,28483577115.0,2703489070.0,3532386265.0,22278247890.0,11642970125.0,PHL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,197000000,159000000,236000000,278000000,273000000,265882903.8,348937717.7,385425695.4,387300951.6,412169786.8,446477954.5,441511424.4,471305024.6,529353929,547026079.2,612611626,546410232.4,751387515.6,916981982.9,832721346.3,519252390.1,622928934.8,550887119.5,0.0
Senegal,162950000.0,33624524.04,0.0,129325476.0,0.0,SEN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5487125.076,2874121.559,3325581.684,506986.213,7228759.859,7377787.202,5283048.665,7813908.33,9058295.123,12162619.58,5840811.466,5411156.364,4896619.26,1200648.819,5903709.826,5152469.091,7635938.447,8163687.072,8752958.861,0.0,0.0,0.0,0.0,0.0
Seychelles,181700000.0,195885.31,22370407.11,159172852.2,139959836.0,SYC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,437535.9144,426800.2077,547441.9255,555481.8342,543090.9091,545454.5455,543529.2258,545237.3482,515861.0463,515960.2169,1414195.314,1413960.686,1512607.395,2754038.336,2754425.678,1793930.522,1457332.435,2214502.732,2716441.328,3332145.021,1982431.307,2431765.612,0.0,0.0
Sierra Leone,18700000.0,0.0,0.0,18700000.0,0.0,SLE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,197310.6941,25066.11023,2896.953285,1039718.92,1517962.45,728898.2279,643885.2214,403114.8978,334281.8942,408617.2416,1050135.558,1038580.007,886050.4823,1054950.277,1437870.046,891785.4261,798108.9648,1266142.978,1192220.105,0.0,0.0
Slovak Republic,574520000.0,27735951.13,-0.01,596975665.3,0.0,SVK,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,58130537.92,58406945.31,63194028.25,91220667.51,0.0,0.0,0.0,0.0,220252619.4,189975719.5,168358820.9,176539865.5,180980256.1,571824993.2,672289268,522191217.2,686313614.3,706690665.8,751531430.7,754188697.6,646719708.6,744777215.1,753820097.2,0.0
South Africa,5815300000.0,697911892.1,507157666.5,4584096756.0,2578549642.0,ZAF,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,245895910.2,329528506.3,446513324,616743679.5,891018800.3,1070615302,1281749087,1596250885,1675904017,1658023465,1941103069,2118146097,2017325060,1936693353,1732081250,1641134757,1831242821,1883350101,1540106740,1356151183,1197536398,1453033533,1453465563,0.0
Sri Lanka,1856710000.0,361134464.6,331316798.9,1189258736.0,967603495.1,LKA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Kitts and Nevis,27319322.0,3118387.99,0.0,24200934.01,0.0,KNA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,825925.9259,927777.7778,887159.2593,1281851.852,1848140.741,2018966.667,1750127.407,1782938.148,2213601.111,1619166.667,1941085.556,2035227.778,2073488.148,2157114.444,3039400.909,2556748.679,2655552.234,1548652.211,1977240.664,3167362.476,2561087.93,2441611.755,0.0,0.0
